Id,avg_dailyCalories
8053475328,2945.81
1644430081,2811.3
4558609924,2033.26
4319703577,2037.68
2320127002,1724.16
1503960366,1816.42
8877689391,3420.26
2347167796,2043.44
4388161847,3093.87
6775888955,2131.77
5553957443,1875.68
3372868164,1933.1
7086361926,2566.35
2873212765,1916.97
6290855005,2599.62
5577150313,3359.63
4445114986,2186.19
4020332650,2385.81
6117666160,2261.14
8378563200,3436.58
8583815059,2732.03
2026352035,1540.65
7007744171,2544
1927972279,2172.81
2022484408,2509.97
8792009665,1962.31
6962181067,1982.03
4057192912,1973.75
3977333714,1513.67
4702921684,2965.55
1844505072,1573.48
1624580081,1483.35
8253242879,1788
